source_id,target_id,department
14,57,Departamento de Bioingeniería e Ingeniería Química
14,63,Departamento de Bioingeniería e Ingeniería Química
14,67,Departamento de Bioingeniería e Ingeniería Química
14,68,Departamento de Bioingeniería e Ingeniería Química
14,69,Departamento de Bioingeniería e Ingeniería Química
14,79,Departamento de Bioingeniería e Ingeniería Química
14,83,Departamento de Bioingeniería e Ingeniería Química
23,25,Departamento de Bioingeniería e Ingeniería Química
23,57,Departamento de Bioingeniería e Ingeniería Química
23,63,Departamento de Bioingeniería e Ingeniería Química
23,67,Departamento de Bioingeniería e Ingeniería Química
23,68,Departamento de Bioingeniería e Ingeniería Química
23,69,Departamento de Bioingeniería e Ingeniería Química
23,79,Departamento de Bioingeniería e Ingeniería Química
23,83,Departamento de Bioingeniería e Ingeniería Química
25,57,Departamento de Bioingeniería e Ingeniería Química
25,63,Departamento de Bioingeniería e Ingeniería Química
25,67,Departamento de Bioingeniería e Ingeniería Química
25,68,Departamento de Bioingeniería e Ingeniería Química
25,69,Departamento de Bioingeniería e Ingeniería Química
25,79,Departamento de Bioingeniería e Ingeniería Química
25,83,Departamento de Bioingeniería e Ingeniería Química
57,63,Departamento de Bioingeniería e Ingeniería Química
57,67,Departamento de Bioingeniería e Ingeniería Química
57,68,Departamento de Bioingeniería e Ingeniería Química
57,69,Departamento de Bioingeniería e Ingeniería Química
57,79,Departamento de Bioingeniería e Ingeniería Química
57,83,Departamento de Bioingeniería e Ingeniería Química
63,67,Departamento de Bioingeniería e Ingeniería Química
63,68,Departamento de Bioingeniería e Ingeniería Química
63,69,Departamento de Bioingeniería e Ingeniería Química
63,79,Departamento de Bioingeniería e Ingeniería Química
63,83,Departamento de Bioingeniería e Ingeniería Química
67,68,Departamento de Bioingeniería e Ingeniería Química
67,69,Departamento de Bioingeniería e Ingeniería Química
67,79,Departamento de Bioingeniería e Ingeniería Química
67,83,Departamento de Bioingeniería e Ingeniería Química
68,69,Departamento de Bioingeniería e Ingeniería Química
68,79,Departamento de Bioingeniería e Ingeniería Química
68,83,Departamento de Bioingeniería e Ingeniería Química
69,79,Departamento de Bioingeniería e Ingeniería Química
69,83,Departamento de Bioingeniería e Ingeniería Química
