source_id,target_id,source_name,target_name,weight
71,60,Nedher Sanchez Ramirez,Elmer Ramirez Quiroz,0.5346999764442444
57,13,Carolina Parada Quinaya,Ruth Canahuire Cabello,0.5311999917030334
91,11,Carlos Zorrilla Aranguren,Juan Bueno Villanueva,0.5296000242233276
37,8,Daniel Vicente Horna Muñoz,Omar Bejarano Grández,0.5289999842643738
84,24,Elba Rosaura Vazques Arrieta,Jose Fiestas Iquira,0.527400016784668
44,17,Jose Larco Martinelli,Fabien Cornillier,0.5267999768257141
46,19,Milagros Lunga Calderón,Jose De La Puente Maldonado,0.5246999859809875
71,40,Nedher Sanchez Ramirez,Dante Inga Narvaez,0.5238000154495239
7,42,Luis Bedriñana Mera,Enrique Juarez Aquino,0.5217000246047974
37,9,Daniel Vicente Horna Muñoz,Jesús Edwin Bellido Angulo,0.5206000208854675
1,36,Grace Alexandrino Ocaña,Oscar Hidalgo Wuest,0.5198000073432922
5,72,Patricia Araujo Pantoja,Monica C. Santa-Maria,0.5178999900817871
36,18,Oscar Hidalgo Wuest,Antuané De La Flor Basterrechea,0.5152999758720398
65,33,Jose Renom Andara,Juan Gabriel Gutierrez Alva,0.5145000219345093
1,91,Grace Alexandrino Ocaña,Carlos Zorrilla Aranguren,0.5102999806404114
5,39,Patricia Araujo Pantoja,Deyby Huamanchahua Canchanya,0.5101000070571899
66,57,Alejandro Rios Cuadros,Carolina Parada Quinaya,0.5081999897956848
37,72,Daniel Vicente Horna Muñoz,Monica C. Santa-Maria,0.5076000094413757
49,28,Diego Alejandro Milanés Carreño,José Tomás Gálvez Ghersi,0.5062000155448914
71,38,Nedher Sanchez Ramirez,Rocío Hoyos Diaz,0.5041000247001648
78,48,Matteo Stiglich Labarthe,Giancarlo Marcone Flores,0.5037000179290771
49,66,Diego Alejandro Milanés Carreño,Alejandro Rios Cuadros,0.5011000037193298
82,72,David Wilfredo Torres Escobar,Monica C. Santa-Maria,0.5009999871253967
37,33,Daniel Vicente Horna Muñoz,Juan Gabriel Gutierrez Alva,0.4952999949455261
78,42,Matteo Stiglich Labarthe,Enrique Juarez Aquino,0.49239999055862427
82,32,David Wilfredo Torres Escobar,Leo Guerrero,0.49230000376701355
82,46,David Wilfredo Torres Escobar,Milagros Lunga Calderón,0.48350000381469727
82,0,David Wilfredo Torres Escobar,José Manuel Aguilar Alfaro,0.48330000042915344
84,29,Elba Rosaura Vazques Arrieta,Oscar Gamonal Pajares,0.4805999994277954
89,1,Romina Perla Yalonetzky Mankevich,Grace Alexandrino Ocaña,0.4779999852180481
14,69,Paul Cardenas Lizana,Harry Gustavo Saavedra Espinoza,0.475600004196167
36,20,Oscar Hidalgo Wuest,José Andrés De Leo Martínez,0.4742000102996826
36,38,Oscar Hidalgo Wuest,Rocío Hoyos Diaz,0.46540001034736633
10,31,Carlos Alberto Benedetty Torres,Jorge Gonzalez Reaño,0.4514999985694885
