source_id,target_id,source_name,target_name,relation,key,weight
7,42,Luis Bedriñana Mera,Enrique Juarez Aquino,research_area_predicted,w2v_sif_cosine,0.1917
87,36,Eunice Villicaña Ortiz,Oscar Hidalgo Wuest,research_area_predicted,w2v_sif_cosine,0.185
86,36,Rafael Vera Pomalaza,Oscar Hidalgo Wuest,research_area_predicted,w2v_sif_cosine,0.1848
54,49,Moises Nuñez Ochoa,Diego Alejandro Milanés Carreño,research_area_predicted,w2v_sif_cosine,0.1841
78,2,Matteo Stiglich Labarthe,Helard Alvarez Sanchez,research_area_predicted,w2v_sif_cosine,0.1816
36,90,Oscar Hidalgo Wuest,Katia Zegarra Sierra,research_area_predicted,w2v_sif_cosine,0.1815
15,10,Samuel Charca Mamani,Carlos Alberto Benedetty Torres,research_area_predicted,w2v_sif_cosine,0.1807
13,61,Ruth Canahuire Cabello,Oscar Ramos Ponce,research_area_predicted,w2v_sif_cosine,0.1796
65,16,Jose Renom Andara,Xyoby Chavez Pacheco,research_area_predicted,w2v_sif_cosine,0.1758
5,71,Patricia Araujo Pantoja,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1751
54,28,Moises Nuñez Ochoa,José Tomás Gálvez Ghersi,research_area_predicted,w2v_sif_cosine,0.1742
1,84,Grace Alexandrino Ocaña,Elba Rosaura Vazques Arrieta,research_area_predicted,w2v_sif_cosine,0.1713
86,13,Rafael Vera Pomalaza,Ruth Canahuire Cabello,research_area_predicted,w2v_sif_cosine,0.1711
27,71,Christian Flores Vega,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1687
61,62,Oscar Ramos Ponce,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.1647
22,4,Manuel Arturo Deza Figueroa,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.162
27,48,Christian Flores Vega,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.1616
89,90,Romina Perla Yalonetzky Mankevich,Katia Zegarra Sierra,research_area_predicted,w2v_sif_cosine,0.1614
15,44,Samuel Charca Mamani,Jose Larco Martinelli,research_area_predicted,w2v_sif_cosine,0.1609
54,78,Moises Nuñez Ochoa,Matteo Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.1591
91,45,Carlos Zorrilla Aranguren,Cristian Lopez Del Alamo,research_area_predicted,w2v_sif_cosine,0.1591
2,77,Helard Alvarez Sanchez,Enrique Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.1579
61,18,Oscar Ramos Ponce,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.1578
80,9,Jimmy Tarrillo Olano,Jesús Edwin Bellido Angulo,research_area_predicted,w2v_sif_cosine,0.1576
78,84,Matteo Stiglich Labarthe,Elba Rosaura Vazques Arrieta,research_area_predicted,w2v_sif_cosine,0.1571
1,62,Grace Alexandrino Ocaña,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.1562
72,20,Monica C. Santa-Maria,José Andrés De Leo Martínez,research_area_predicted,w2v_sif_cosine,0.1559
20,71,José Andrés De Leo Martínez,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1558
77,18,Enrique Stiglich Labarthe,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.1557
55,18,Maria Belén Ortiz García,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.155
91,46,Carlos Zorrilla Aranguren,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.154
28,55,José Tomás Gálvez Ghersi,Maria Belén Ortiz García,research_area_predicted,w2v_sif_cosine,0.153
7,4,Luis Bedriñana Mera,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.1514
31,36,Jorge Gonzalez Reaño,Oscar Hidalgo Wuest,research_area_predicted,w2v_sif_cosine,0.1512
36,39,Oscar Hidalgo Wuest,Deyby Huamanchahua Canchanya,research_area_predicted,w2v_sif_cosine,0.1512
7,46,Luis Bedriñana Mera,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.151
79,71,Francisco Tarazona Vásquez,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1504
67,25,Juan Carlos Rodríguez Reyes,Elena Flores Barreda,research_area_predicted,w2v_sif_cosine,0.1502
78,48,Matteo Stiglich Labarthe,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.149
28,78,José Tomás Gálvez Ghersi,Matteo Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.1468
63,19,Alejandra Ratti Parandelli,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.1464
54,43,Moises Nuñez Ochoa,Wangdo Kim,research_area_predicted,w2v_sif_cosine,0.1457
79,19,Francisco Tarazona Vásquez,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.1457
55,19,Maria Belén Ortiz García,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.1453
20,4,José Andrés De Leo Martínez,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.1452
55,70,Maria Belén Ortiz García,Heider Sánchez Enriquez,research_area_predicted,w2v_sif_cosine,0.1446
87,13,Eunice Villicaña Ortiz,Ruth Canahuire Cabello,research_area_predicted,w2v_sif_cosine,0.1442
61,78,Oscar Ramos Ponce,Matteo Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.144
22,84,Manuel Arturo Deza Figueroa,Elba Rosaura Vazques Arrieta,research_area_predicted,w2v_sif_cosine,0.1439
2,9,Helard Alvarez Sanchez,Jesús Edwin Bellido Angulo,research_area_predicted,w2v_sif_cosine,0.1438
72,79,Monica C. Santa-Maria,Francisco Tarazona Vásquez,research_area_predicted,w2v_sif_cosine,0.1421
13,62,Ruth Canahuire Cabello,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.1418
37,27,Daniel Vicente Horna Muñoz,Christian Flores Vega,research_area_predicted,w2v_sif_cosine,0.141
28,70,José Tomás Gálvez Ghersi,Heider Sánchez Enriquez,research_area_predicted,w2v_sif_cosine,0.1409
1,27,Grace Alexandrino Ocaña,Christian Flores Vega,research_area_predicted,w2v_sif_cosine,0.1394
85,49,Emir Augusto Vela Saavedra,Diego Alejandro Milanés Carreño,research_area_predicted,w2v_sif_cosine,0.1389
49,22,Diego Alejandro Milanés Carreño,Manuel Arturo Deza Figueroa,research_area_predicted,w2v_sif_cosine,0.1388
8,33,Omar Bejarano Grández,Juan Gabriel Gutierrez Alva,research_area_predicted,w2v_sif_cosine,0.1382
37,66,Daniel Vicente Horna Muñoz,Alejandro Rios Cuadros,research_area_predicted,w2v_sif_cosine,0.138
1,22,Grace Alexandrino Ocaña,Manuel Arturo Deza Figueroa,research_area_predicted,w2v_sif_cosine,0.1372
86,18,Rafael Vera Pomalaza,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.135
67,33,Juan Carlos Rodríguez Reyes,Juan Gabriel Gutierrez Alva,research_area_predicted,w2v_sif_cosine,0.135
87,7,Eunice Villicaña Ortiz,Luis Bedriñana Mera,research_area_predicted,w2v_sif_cosine,0.1347
14,55,Paul Cardenas Lizana,Maria Belén Ortiz García,research_area_predicted,w2v_sif_cosine,0.1334
53,48,Julien Noel,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.1302
88,28,Akira Armando Wong Sato,José Tomás Gálvez Ghersi,research_area_predicted,w2v_sif_cosine,0.1295
8,70,Omar Bejarano Grández,Heider Sánchez Enriquez,research_area_predicted,w2v_sif_cosine,0.1288
33,71,Juan Gabriel Gutierrez Alva,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.128
33,9,Juan Gabriel Gutierrez Alva,Jesús Edwin Bellido Angulo,research_area_predicted,w2v_sif_cosine,0.1275
80,74,Jimmy Tarrillo Olano,Yamilet Rosario Serrano Llerena,research_area_predicted,w2v_sif_cosine,0.127
11,62,Juan Bueno Villanueva,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.1266
56,68,Hermes Pantoja Carhuavilca,Ursula Rodriguez Zuñiga,research_area_predicted,w2v_sif_cosine,0.1262
89,22,Romina Perla Yalonetzky Mankevich,Manuel Arturo Deza Figueroa,research_area_predicted,w2v_sif_cosine,0.1262
75,65,Igor Siveroni Salinas,Jose Renom Andara,research_area_predicted,w2v_sif_cosine,0.126
56,83,Hermes Pantoja Carhuavilca,Julio Ernesto Valdivia Silva,research_area_predicted,w2v_sif_cosine,0.1249
24,1,Jose Fiestas Iquira,Grace Alexandrino Ocaña,research_area_predicted,w2v_sif_cosine,0.123
8,65,Omar Bejarano Grández,Jose Renom Andara,research_area_predicted,w2v_sif_cosine,0.1225
53,79,Julien Noel,Francisco Tarazona Vásquez,research_area_predicted,w2v_sif_cosine,0.1222
5,48,Patricia Araujo Pantoja,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.1213
31,40,Jorge Gonzalez Reaño,Dante Inga Narvaez,research_area_predicted,w2v_sif_cosine,0.121
39,40,Deyby Huamanchahua Canchanya,Dante Inga Narvaez,research_area_predicted,w2v_sif_cosine,0.121
45,7,Cristian Lopez Del Alamo,Luis Bedriñana Mera,research_area_predicted,w2v_sif_cosine,0.121
56,1,Hermes Pantoja Carhuavilca,Grace Alexandrino Ocaña,research_area_predicted,w2v_sif_cosine,0.1206
49,28,Diego Alejandro Milanés Carreño,José Tomás Gálvez Ghersi,research_area_predicted,w2v_sif_cosine,0.1202
68,41,Ursula Rodriguez Zuñiga,Elvis Jara Alegria,research_area_predicted,w2v_sif_cosine,0.1189
2,5,Helard Alvarez Sanchez,Patricia Araujo Pantoja,research_area_predicted,w2v_sif_cosine,0.1185
75,54,Igor Siveroni Salinas,Moises Nuñez Ochoa,research_area_predicted,w2v_sif_cosine,0.1174
6,77,Andrés Julián Arias Moreno,Enrique Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.1169
15,11,Samuel Charca Mamani,Juan Bueno Villanueva,research_area_predicted,w2v_sif_cosine,0.1166
89,14,Romina Perla Yalonetzky Mankevich,Paul Cardenas Lizana,research_area_predicted,w2v_sif_cosine,0.116
11,71,Juan Bueno Villanueva,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1159
63,42,Alejandra Ratti Parandelli,Enrique Juarez Aquino,research_area_predicted,w2v_sif_cosine,0.1155
57,90,Carolina Parada Quinaya,Katia Zegarra Sierra,research_area_predicted,w2v_sif_cosine,0.1154
6,87,Andrés Julián Arias Moreno,Eunice Villicaña Ortiz,research_area_predicted,w2v_sif_cosine,0.114
80,49,Jimmy Tarrillo Olano,Diego Alejandro Milanés Carreño,research_area_predicted,w2v_sif_cosine,0.113
8,71,Omar Bejarano Grández,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.1126
83,55,Julio Ernesto Valdivia Silva,Maria Belén Ortiz García,research_area_predicted,w2v_sif_cosine,0.1122
75,36,Igor Siveroni Salinas,Oscar Hidalgo Wuest,research_area_predicted,w2v_sif_cosine,0.1115
68,12,Ursula Rodriguez Zuñiga,Jhedmar Jhonatan Callupe Luna,research_area_predicted,w2v_sif_cosine,0.1104
11,1,Juan Bueno Villanueva,Grace Alexandrino Ocaña,research_area_predicted,w2v_sif_cosine,0.1093
45,23,Cristian Lopez Del Alamo,Alberto Donayre Torres,research_area_predicted,w2v_sif_cosine,0.1077
82,30,David Wilfredo Torres Escobar,Germain García Zanabria,research_area_predicted,w2v_sif_cosine,0.1065
80,77,Jimmy Tarrillo Olano,Enrique Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.1063
